text,label
meu email é maria79@email.com,PII
endereço de email registrado,PII
qual o horário de funcionamento,NON_PII
o aplicativo caiu novamente,NON_PII
ligar para o telefone cadastrado,PII
estou satisfeito com o serviço,NON_PII
endereço residencial informado,PII
endereço residencial informado,PII
não consigo acessar minha conta,NON_PII
ligar para o telefone cadastrado,PII
aguardando retorno da equipe,NON_PII
meu cnpj é 89.344.428/0001-18,PII
meu email é carlos62@outlook.com,PII
bom dia gostaria de ajuda,NON_PII
aguardando retorno da equipe,NON_PII
endereço incompleto no cadastro,PII
o atendimento demorou muito,NON_PII
o suporte não respondeu,NON_PII
meu telefone é (71) 96714-5480,PII
o atendimento demorou muito,NON_PII
o sistema está lento hoje,NON_PII
estou satisfeito com o serviço,NON_PII
informe o cnpj corretamente,PII
"moro na rua independência, 4",PII
telefone para contato (66) 96950-9535,PII
minha solicitação está em análise,NON_PII
telefone para contato (23) 91750-3689,PII
preciso atualizar meu cpf,PII
endereço de email registrado,PII
o suporte não respondeu,NON_PII
email inválido no formulário,PII
o atendimento demorou muito,NON_PII
email inválido no formulário,PII
o suporte não respondeu,NON_PII
olá tudo bem,NON_PII
o cpf informado foi 777.210.769-12,PII
minha solicitação está em análise,NON_PII
gostaria de fazer uma reclamação,NON_PII
email inválido no formulário,PII
minha solicitação está em análise,NON_PII
gostaria de fazer uma reclamação,NON_PII
cnpj não encontrado,PII
não consigo acessar minha conta,NON_PII
não consigo acessar minha conta,NON_PII
o cpf informado foi 126.889.506-77,PII
bom dia gostaria de ajuda,NON_PII
enviei meu cpf no cadastro,PII
o suporte não respondeu,NON_PII
o suporte não respondeu,NON_PII
cnpj não encontrado,PII
bom dia gostaria de ajuda,NON_PII
o atendimento demorou muito,NON_PII
meu email é carlos95@gmail.com,PII
email inválido no formulário,PII
o sistema está lento hoje,NON_PII
endereço incompleto no cadastro,PII
erro ao entrar na plataforma,NON_PII
o aplicativo caiu novamente,NON_PII
número de telefone inválido,PII
preciso redefinir minha senha,NON_PII
problema técnico no servidor,NON_PII
documento cpf inválido,PII
meu telefone é (18) 91732-7841,PII
gostaria de fazer uma reclamação,NON_PII
meu email é joao58@email.com,PII
enviei meu cpf no cadastro,PII
enviei meu cpf no cadastro,PII
estou satisfeito com o serviço,NON_PII
bom dia gostaria de ajuda,NON_PII
minha solicitação está em análise,NON_PII
qual o horário de funcionamento,NON_PII
informe o cnpj corretamente,PII
minha solicitação está em análise,NON_PII
o suporte não respondeu,NON_PII
o sistema está lento hoje,NON_PII
meu cnpj é 56.744.780/0001-41,PII
email inválido no formulário,PII
preciso atualizar meu cpf,PII
aguardando retorno da equipe,NON_PII
preciso redefinir minha senha,NON_PII
aguardando retorno da equipe,NON_PII
telefone para contato (91) 98551-8371,PII
aguardando retorno da equipe,NON_PII
número de telefone inválido,PII
minha solicitação está em análise,NON_PII
não consigo acessar minha conta,NON_PII
bom dia gostaria de ajuda,NON_PII
gostaria de fazer uma reclamação,NON_PII
estou satisfeito com o serviço,NON_PII
informe o cnpj corretamente,PII
cnpj não encontrado,PII
enviei meu cpf no cadastro,PII
o atendimento demorou muito,NON_PII
problema técnico no servidor,NON_PII
endereço residencial informado,PII
bom dia gostaria de ajuda,NON_PII
preciso atualizar meu cpf,PII
empresa registrada no cnpj 10.875.250/0001-94,PII
meu cpf é 251.700.821-28,PII
o atendimento demorou muito,NON_PII
minha solicitação está em análise,NON_PII
ligar para o telefone cadastrado,PII
confirme seu endereço,PII
confirme seu endereço,PII
documento cpf inválido,PII
meu telefone é (10) 99948-9313,PII
confirme seu endereço,PII
preciso redefinir minha senha,NON_PII
não consigo acessar minha conta,NON_PII
erro ao entrar na plataforma,NON_PII
problema técnico no servidor,NON_PII
o suporte não respondeu,NON_PII
cnpj não encontrado,PII
cnpj não encontrado,PII
telefone para contato (86) 98751-6952,PII
meu cnpj é 35.805.235/0001-93,PII
preciso atualizar meu cpf,PII
ligar para o telefone cadastrado,PII
documento cpf inválido,PII
estou satisfeito com o serviço,NON_PII
confirme seu endereço,PII
gostaria de fazer uma reclamação,NON_PII
meu cpf é 112.790.315-58,PII
o atendimento demorou muito,NON_PII
qual o horário de funcionamento,NON_PII
meu email é carlos57@gmail.com,PII
preciso redefinir minha senha,NON_PII
telefone para contato (57) 92956-9225,PII
qual o horário de funcionamento,NON_PII
confirme seu endereço,PII
confirme seu endereço,PII
o suporte não respondeu,NON_PII
estou satisfeito com o serviço,NON_PII
empresa registrada no cnpj 29.864.801/0001-48,PII
meu telefone é (67) 91693-6776,PII
minha solicitação está em análise,NON_PII
minha solicitação está em análise,NON_PII
documento cpf inválido,PII
documento cpf inválido,PII
problema técnico no servidor,NON_PII
documento cpf inválido,PII
qual o horário de funcionamento,NON_PII
qual o horário de funcionamento,NON_PII
preciso atualizar meu cpf,PII
preciso redefinir minha senha,NON_PII
o suporte não respondeu,NON_PII
olá tudo bem,NON_PII
endereço de email registrado,PII
meu cnpj é 71.901.178/0001-56,PII
endereço de email registrado,PII
problema técnico no servidor,NON_PII
informe o cnpj corretamente,PII
telefone para contato (22) 99456-3174,PII
erro ao entrar na plataforma,NON_PII
estou satisfeito com o serviço,NON_PII
email inválido no formulário,PII
o cpf informado foi 954.478.696-80,PII
qual o horário de funcionamento,NON_PII
meu email é carlos46@outlook.com,PII
meu cpf é 877.925.263-99,PII
aguardando retorno da equipe,NON_PII
o sistema está lento hoje,NON_PII
estou satisfeito com o serviço,NON_PII
problema técnico no servidor,NON_PII
aguardando retorno da equipe,NON_PII
aguardando retorno da equipe,NON_PII
meu cnpj é 55.530.716/0001-80,PII
preciso atualizar meu cpf,PII
"moro na rua paulista, 664",PII
não consigo acessar minha conta,NON_PII
preciso redefinir minha senha,NON_PII
minha solicitação está em análise,NON_PII
confirme seu endereço,PII
problema técnico no servidor,NON_PII
problema técnico no servidor,NON_PII
estou satisfeito com o serviço,NON_PII
enviei meu cpf no cadastro,PII
o aplicativo caiu novamente,NON_PII
endereço de email registrado,PII
documento cpf inválido,PII
minha solicitação está em análise,NON_PII
problema técnico no servidor,NON_PII
preciso atualizar meu cpf,PII
cnpj não encontrado,PII
o aplicativo caiu novamente,NON_PII
confirme seu endereço,PII
aguardando retorno da equipe,NON_PII
minha solicitação está em análise,NON_PII
aguardando retorno da equipe,NON_PII
endereço de email registrado,PII
o cpf informado foi 460.659.446-92,PII
o sistema está lento hoje,NON_PII
minha solicitação está em análise,NON_PII
preciso redefinir minha senha,NON_PII
meu email é maria28@gmail.com,PII
o sistema está lento hoje,NON_PII
endereço incompleto no cadastro,PII
minha solicitação está em análise,NON_PII
preciso redefinir minha senha,NON_PII
email inválido no formulário,PII
preciso atualizar meu cpf,PII
o atendimento demorou muito,NON_PII
"moro na rua das flores, 207",PII
estou satisfeito com o serviço,NON_PII
endereço residencial informado,PII
meu cpf é 338.192.254-11,PII
"moro na rua paulista, 743",PII
o aplicativo caiu novamente,NON_PII
olá tudo bem,NON_PII
telefone para contato (37) 97671-8937,PII
olá tudo bem,NON_PII
erro ao entrar na plataforma,NON_PII
