text,label
Esclarecimentos sobre multa aplicada ao imóvel.,FINANCIAL
Encaminho laudo médico para afastamento.,HEALTH
Possuo doença crônica e preciso de licença.,HEALTH
Solicito análise médica para concessão de direito.,HEALTH
Solicito histórico de consumo do imóvel 886609-3.,FINANCIAL
Paciente em tratamento oncológico solicita benefício.,HEALTH
Possuo doença crônica e preciso de licença.,HEALTH
Pedido de restituição de ICMS pago indevidamente.,FINANCIAL
Pedido de matrícula escolar para menor.,CHILD
Telefone de contato (61) 94678-1461 e CPF 341.495.183-57.,IDENTITY
Solicito informações sobre vacinação infantil.,CHILD
Solicito atualização cadastral com CPF 596.224.129-90.,IDENTITY
Estou em tratamento médico e solicito isenção.,HEALTH
Criança menor necessita atendimento prioritário.,CHILD
Solicito informações sobre vacinação infantil.,CHILD
Criança menor necessita atendimento prioritário.,CHILD
Requeiro cópia integral do processo administrativo.,LEGAL
Gostaria de saber se há vaga em escola pública.,CHILD
Paciente em tratamento oncológico solicita benefício.,HEALTH
Requeiro cópia integral do processo administrativo.,LEGAL
Solicito pagamento de nota fiscal pendente.,FINANCIAL
Encaminho RG e CPF de Pedro Lima para cadastro.,IDENTITY
Gostaria de saber o andamento do processo 46899-66/2021-60.,LEGAL
Solicito pagamento de nota fiscal pendente.,FINANCIAL
Solicito acesso ao processo SEI nº 98346-65/2017-23.,LEGAL
Encaminho documentos para acesso ao processo legal.,LEGAL
Documento pessoal de Maria Oliveira CPF 212.776.987-13.,IDENTITY
Solicito informações sobre vacinação infantil.,CHILD
Solicito informações sobre vacinação infantil.,CHILD
Meu filho menor de idade necessita de vaga em creche.,CHILD
Encaminho documentos para acesso ao processo legal.,LEGAL
Meu nome é João Silva e meu CPF é 956.611.711-78.,IDENTITY
Encaminho laudo médico para afastamento.,HEALTH
Solicito histórico de consumo do imóvel 839525-6.,FINANCIAL
Encaminho documentos para acesso ao processo legal.,LEGAL
Encaminho RG e CPF de Carlos Santos para cadastro.,IDENTITY
Possuo doença crônica e preciso de licença.,HEALTH
Esclarecimentos sobre multa aplicada ao imóvel.,FINANCIAL
Meu filho menor de idade necessita de vaga em creche.,CHILD
Solicito atualização cadastral com CPF 876.346.807-70.,IDENTITY
Requeiro cópia integral do processo administrativo.,LEGAL
Documento pessoal de Ana Costa CPF 218.199.340-78.,IDENTITY
Requeiro cópia integral do processo administrativo.,LEGAL
Pedido de matrícula escolar para menor.,CHILD
Requeiro cópia integral do processo administrativo.,LEGAL
Requeiro cópia integral do processo administrativo.,LEGAL
Pedido de matrícula escolar para menor.,CHILD
Estou em tratamento médico e solicito isenção.,HEALTH
Solicito revisão de débito financeiro.,FINANCIAL
Gostaria de saber se há vaga em escola pública.,CHILD
Solicito pagamento de nota fiscal pendente.,FINANCIAL
Criança menor necessita atendimento prioritário.,CHILD
Encaminho documentos para acesso ao processo legal.,LEGAL
Solicito pagamento de nota fiscal pendente.,FINANCIAL
Encaminho RG e CPF de João Silva para cadastro.,IDENTITY
Meu nome é Fernanda Rocha e meu CPF é 252.658.136-57.,IDENTITY
Solicito análise médica para concessão de direito.,HEALTH
Solicito atualização cadastral com CPF 579.641.357-80.,IDENTITY
Encaminho documentos para acesso ao processo legal.,LEGAL
Pedido de matrícula escolar para menor.,CHILD
Encaminho documentos para acesso ao processo legal.,LEGAL
Meu nome é Fernanda Rocha e meu CPF é 891.408.970-97.,IDENTITY
Solicito revisão de débito financeiro.,FINANCIAL
Solicito acesso ao processo SEI nº 12061-10/2023-80.,LEGAL
Estou em tratamento médico e solicito isenção.,HEALTH
Encaminho laudo médico para afastamento.,HEALTH
Possuo doença crônica e preciso de licença.,HEALTH
Meu filho menor de idade necessita de vaga em creche.,CHILD
Meu nome é João Silva e meu CPF é 269.911.414-86.,IDENTITY
Solicito histórico de consumo do imóvel 792829-4.,FINANCIAL
Solicito atualização cadastral com CPF 847.197.420-64.,IDENTITY
Solicito histórico de consumo do imóvel 739008-4.,FINANCIAL
Solicito revisão de débito financeiro.,FINANCIAL
Solicito análise médica para concessão de direito.,HEALTH
Solicito informações sobre a denúncia registrada.,LEGAL
Gostaria de saber o andamento do processo 57826-19/2020-94.,LEGAL
Possuo doença crônica e preciso de licença.,HEALTH
Solicito atualização cadastral com CPF 552.791.318-75.,IDENTITY
Solicito pagamento de nota fiscal pendente.,FINANCIAL
Solicito acesso ao processo SEI nº 63856-43/2021-93.,LEGAL
Paciente em tratamento oncológico solicita benefício.,HEALTH
Telefone de contato (61) 98025-6003 e CPF 561.553.404-85.,IDENTITY
Solicito informações sobre a denúncia registrada.,LEGAL
Encaminho RG e CPF de Fernanda Rocha para cadastro.,IDENTITY
Gostaria de saber o andamento do processo 46291-43/2019-34.,LEGAL
Pedido de restituição de ICMS pago indevidamente.,FINANCIAL
Meu filho menor de idade necessita de vaga em creche.,CHILD
Paciente em tratamento oncológico solicita benefício.,HEALTH
Paciente em tratamento oncológico solicita benefício.,HEALTH
Solicito acesso ao processo SEI nº 79603-34/2015-96.,LEGAL
Solicito informações sobre a denúncia registrada.,LEGAL
Solicito pagamento de nota fiscal pendente.,FINANCIAL
